NOME,BAIRRO,ENDERECO,CULINARIA,endereco_completo,latitude,longitude
Malta Beef Club,Leblon,"Av. General San Martin, 359",Carne,"Avenida General San Martin, Rio de Janeiro, Brazil",-22.9873999,-43.2286786
Irajá Redux,Leblon,"Av. Ataulfo de Paiva, 270 - Lojas 112/113",Contemporânea,"Avenida Ataulfo de Paiva, Rio de Janeiro, Brazil",-22.9848391,-43.2250261
Gurumê,Leblon,"Av. Ataulfo de Paiva, 270 - Loja 210",Japonesa,"Avenida Ataulfo de Paiva, Rio de Janeiro, Brazil",-22.9848391,-43.2250261
CT Boucherie,Leblon,"Rua Dias Ferreira, 636",Francesa,"Rua Dias Ferreira, Rio de Janeiro, Brazil",-22.7955341,-43.0269272
Clan BBQ,Leblon,"Rua Dias Ferreira, 233",Carne,"Rua Dias Ferreira, Rio de Janeiro, Brazil",-22.7955341,-43.0269272
Nola,Leblon,"Rua Dias Ferreira, 247",Italiana,"Rua Dias Ferreira, Rio de Janeiro, Brazil",-22.7955341,-43.0269272
Cortés Asador,Leblon,"Av. Afrânio de Melo Franco, 290 - Lojas 410/411",Carne,"Avenida Afrânio de Melo Franco, Rio de Janeiro, Brazil",-22.9788215,-43.2181676
Itacoa ,Leblon,"Av. Ataulfo de Paiva, 270 - Loja 105",Francesa,"Avenida Ataulfo de Paiva, Rio de Janeiro, Brazil",-22.9848391,-43.2250261
San ,Leblon,"Rua Humberto de Campos, 827",Japonesa,"Rua Humberto de Campos, Rio de Janeiro, Brazil",-22.6786615,-43.2398067
Sushi Leblon,Leblon,"Rua Dias Ferreira, 256",Japonesa,"Rua Dias Ferreira, Rio de Janeiro, Brazil",-22.7955341,-43.0269272
Ocyá,Leblon,"Rua Aristides Espinola, 88",Frutos do mar,"Rua Aristides Espinola, Rio de Janeiro, Brazil",-22.9866388,-43.2268313
Nino,Ipanema,"Rua Barão da Torre, 490",Italiana,"Rua Barão da Torre, Rio de Janeiro, Brazil",-22.6270971,-42.0044768
Da Marino,Ipanema,"Rua Barão da Torre, 482",Mediterrânea,"Rua Barão da Torre, Rio de Janeiro, Brazil",-22.6270971,-42.0044768
Spicy Fish,Ipanema,"Rua Maria Quitéria, 99",Asiática,"Rua Maria Quitéria, Rio de Janeiro, Brazil",-22.8254531,-43.0767814
Tiara ,Leblon,"Av. Ataulfo de Paiva, 270 - Loja 111",Contemporânea,"Avenida Ataulfo de Paiva, Rio de Janeiro, Brazil",-22.9848391,-43.2250261
IT Ristorante,Leblon,"Av. Afrânio de Melo Franco, 290 - 4º Piso",Italiana,"Avenida Afrânio de Melo Franco, Rio de Janeiro, Brazil",-22.9788215,-43.2181676
Guacamole Taqueria,Leblon,"Rua Cupertino Durão, 96",Mexicana,"Rua Cupertino Durão, Rio de Janeiro, Brazil",-22.7567585,-43.4385812
Haru,Copacabana,"Rua Raimundo Corrêa, 10",Japonesa,"Rua Raimundo Corrêa, Rio de Janeiro, Brazil",-22.508634,-44.077126
Tutto Nhoque,Botafogo,"Rua São Clemente, 24",Italiana,"Rua São Clemente, Rio de Janeiro, Brazil",-22.8346574,-43.614929
T.T. Burguer,Leblon,"Av. Ataulfo de Paiva, 1240",Hamburgueria,"Avenida Ataulfo de Paiva, Rio de Janeiro, Brazil",-22.9848391,-43.2250261
Ráscal,Leblon,"Av. Afrânio de Melo Franco, 290 - 4º Piso",Mediterrânea,"Avenida Afrânio de Melo Franco, Rio de Janeiro, Brazil",-22.9788215,-43.2181676
Mocellin Steakhouse,Barra da Tijuca,"Av. Armando Lombardi, 1010",Carne,"Avenida Armando Lombardi, Rio de Janeiro, Brazil",-23.0071673,-43.3081615
D'Heaven,Barra da Tijuca,"Av. das Américas, 3900",Francesa,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492
Alessandro & Frederico,Ipanema,"Rua Garcia d'Avila, 134",Italiana,"Rua Garcia d'Avila, Rio de Janeiro, Brazil",-22.9829363,-43.2091512
Pope,Ipanema,"Rua Joana Angélica, 47",Mediterrânea,"Rua Joana Angélica, Rio de Janeiro, Brazil",-22.9832734,-43.2049026
Gero Panini ,Ipanema,"Rua Aníbal de Mendonça, 157 ",Italiana,"Rua Aníbal de Mendonça, Rio de Janeiro, Brazil",-22.9828334,-43.2112609
Xian,Centro,"Av. Alm. Silvio de Noronha, 365",Asiática,"Avenida Alm. Silvio de Noronha, Rio de Janeiro, Brazil",-22.915589,-43.165112
Masi,São Conrado,"Av. Niemeyer, 769 - 30 andar",Japonesa,"Avenida Niemeyer, Rio de Janeiro, Brazil",-22.9909376,-43.2322211
Satyricon,Ipanema,"Rua Barão da Torre, 192",Mediterrânea,"Rua Barão da Torre, Rio de Janeiro, Brazil",-22.6270971,-42.0044768
Álvaro's ,Leblon,"Av. Ataulfo de Paiva, 500",Brasileira,"Avenida Ataulfo de Paiva, Rio de Janeiro, Brazil",-22.9848391,-43.2250261
Babbo Osteria,Ipanema,"Rua Barão da Torre, 632 ",Italiana,"Rua Barão da Torre, Rio de Janeiro, Brazil",-22.6270971,-42.0044768
Ferro e Farinha,Leblon,"Rua Dias Ferreira, 48",Pizzaria,"Rua Dias Ferreira, Rio de Janeiro, Brazil",-22.7955341,-43.0269272
Giuseppe Grill,Leblon,"Av. Bartolomeu Mitre, 370 ",Carne e frutos do mar,"Avenida Bartolomeu Mitre, Rio de Janeiro, Brazil",-22.9790008,-43.2245216
Fiorino,Tijuca,Av.Heitor Beltrão 126,Italiana,"AvenidaHeitor Beltrão 126, Rio de Janeiro, Brazil",-22.9199733,-43.2222855
Domenica Pizzaria Artesanal,Tijuca,Rua São francisco Xavier 18,Pizzaria,"Rua São francisco Xavier 18, Rio de Janeiro, Brazil",-22.5612771,-42.6841755
Bucaneiros Tijuca,Tijuca,Rua Major Avila 200,Americana,"Rua Major Avila 200, Rio de Janeiro, Brazil",-22.8988414,-42.3582789
Bar do Momo,Uruguai,Rua General Espirito Santo Cardoso 50,Brasileira,"Rua General Espirito Santo Cardoso 50, Rio de Janeiro, Brazil",-22.9298348,-43.2431877
Otto,Tijuca,Rua Uruguai 380,Alemã,"Rua Uruguai 380, Rio de Janeiro, Brazil",-22.9321657,-43.2415212
Restaurante Salete,Tijuca,Rua Afonso Pena 189,Brasileira,"Rua Afonso Pena 189, Rio de Janeiro, Brazil",-22.9945024,-44.2390533
Tragga Del Mar,Barra Da Tijuca,Av. Das Américas 8585,Frutos do mar e Mediterrâneo,"Avenida Das Américas 8585, Rio de Janeiro, Brazil",-23.0012325,-43.3965375
Na Brasa Columbia,Tijuca,Rua Hadock Lobo 346,Brasileira,"Rua Hadock Lobo 346, Rio de Janeiro, Brazil",-22.9151577,-43.2075116
Turino,Tijuca,Rua Santa Sofia 114,Italiana,"Rua Santa Sofia 114, Rio de Janeiro, Brazil",-22.7285423,-43.4967019
Toca da Traira,Botafogo,Rua General Severiano 97,Frutos do mar e Mediterrâneo,"Rua General Severiano 97, Rio de Janeiro, Brazil",-22.9540228,-43.17786973955063
Fornêro,Tijuca,Rua Deputado Soares Filho 321A,Pizzaria,"Rua Deputado Soares Filho 321A, Rio de Janeiro, Brazil",-22.6420412,-43.63895
Mamma Jamma,Botafogo,"Praia de Botafogo, 400 - Loja 504 ",Pizzaria,"Praia de Botafogo, Rio de Janeiro, Brazil",-22.94540365,-43.18081801820892
Coco Bambu,Botafogo,"Rua Gen. Severiano, 97",Frutos do mar,"Rua Gen. Severiano, Rio de Janeiro, Brazil",-22.71148,-43.4587003
Nolita,Barra da Tijuca ,"Av das Americas, 3900 ",Italiana,"Av das Americas, Rio de Janeiro, Brazil",-22.9960898,-43.5942696
Tragga Humaitá,Humaitá,Rua Capitão Salomão 74,Steakhouse,"Rua Capitão Salomão 74, Rio de Janeiro, Brazil",-22.9571371,-43.1962066
La Esquina,Lapa,Av. Mem de Sá 61,Sul- Ameicana,"Avenida Mem de Sá 61, Rio de Janeiro, Brazil",-22.9133866,-43.1810992
