NOME,BAIRRO,ENDERECO,CULINARIA,endereco_completo,latitude,longitude,estrelas
Malta Beef Club,Leblon,"Av. General San Martin, 359",Carne,"Avenida General San Martin, Rio de Janeiro, Brazil",-22.9873999,-43.2286786,4
Irajá Redux,Leblon,"Av. Ataulfo de Paiva, 270 - Lojas 112/113",Contemporânea,"Avenida Ataulfo de Paiva, Rio de Janeiro, Brazil",-22.9848391,-43.2250261,5
Gurumê,Leblon,"Av. Ataulfo de Paiva, 270 - Loja 210",Japonesa,"Avenida Ataulfo de Paiva, Rio de Janeiro, Brazil",-22.9848391,-43.2250261,3
CT Boucherie,Leblon,"Rua Dias Ferreira, 636",Francesa,"Rua Dias Ferreira, Rio de Janeiro, Brazil",-22.7955341,-43.0269272,5
Clan BBQ,Leblon,"Rua Dias Ferreira, 233",Carne,"Rua Dias Ferreira, Rio de Janeiro, Brazil",-22.7955341,-43.0269272,5
Nola,Leblon,"Rua Dias Ferreira, 247",Italiana,"Rua Dias Ferreira, Rio de Janeiro, Brazil",-22.7955341,-43.0269272,2
Cortés Asador,Leblon,"Av. Afrânio de Melo Franco, 290 - Lojas 410/411",Carne,"Avenida Afrânio de Melo Franco, Rio de Janeiro, Brazil",-22.9788215,-43.2181676,3
Itacoa ,Leblon,"Av. Ataulfo de Paiva, 270 - Loja 105",Francesa,"Avenida Ataulfo de Paiva, Rio de Janeiro, Brazil",-22.9848391,-43.2250261,3
San ,Leblon,"Rua Humberto de Campos, 827",Japonesa,"Rua Humberto de Campos, Rio de Janeiro, Brazil",-22.6786615,-43.2398067,3
Sushi Leblon,Leblon,"Rua Dias Ferreira, 256",Japonesa,"Rua Dias Ferreira, Rio de Janeiro, Brazil",-22.7955341,-43.0269272,5
Ocyá,Leblon,"Rua Aristides Espinola, 88",Frutos do mar,"Rua Aristides Espinola, Rio de Janeiro, Brazil",-22.9866388,-43.2268313,4
Nino,Ipanema,"Rua Barão da Torre, 490",Italiana,"Rua Barão da Torre, Rio de Janeiro, Brazil",-22.6270971,-42.0044768,3
Da Marino,Ipanema,"Rua Barão da Torre, 482",Mediterrânea,"Rua Barão da Torre, Rio de Janeiro, Brazil",-22.6270971,-42.0044768,5
Spicy Fish,Ipanema,"Rua Maria Quitéria, 99",Asiática,"Rua Maria Quitéria, Rio de Janeiro, Brazil",-22.8254531,-43.0767814,2
Tiara ,Leblon,"Av. Ataulfo de Paiva, 270 - Loja 111",Contemporânea,"Avenida Ataulfo de Paiva, Rio de Janeiro, Brazil",-22.9848391,-43.2250261,4
IT Ristorante,Leblon,"Av. Afrânio de Melo Franco, 290 - 4º Piso",Italiana,"Avenida Afrânio de Melo Franco, Rio de Janeiro, Brazil",-22.9788215,-43.2181676,2
Guacamole Taqueria,Leblon,"Rua Cupertino Durão, 96",Mexicana,"Rua Cupertino Durão, Rio de Janeiro, Brazil",-22.7567585,-43.4385812,4
Haru,Copacabana,"Rua Raimundo Corrêa, 10",Japonesa,"Rua Raimundo Corrêa, Rio de Janeiro, Brazil",-22.508634,-44.077126,5
Tutto Nhoque,Botafogo,"Rua São Clemente, 24",Italiana,"Rua São Clemente, Rio de Janeiro, Brazil",-22.8346574,-43.614929,1
T.T. Burguer,Leblon,"Av. Ataulfo de Paiva, 1240",Hamburgueria,"Avenida Ataulfo de Paiva, Rio de Janeiro, Brazil",-22.9848391,-43.2250261,4
Ráscal,Leblon,"Av. Afrânio de Melo Franco, 290 - 4º Piso",Mediterrânea,"Avenida Afrânio de Melo Franco, Rio de Janeiro, Brazil",-22.9788215,-43.2181676,2
Mocellin Steakhouse,Barra da Tijuca,"Av. Armando Lombardi, 1010",Carne,"Avenida Armando Lombardi, Rio de Janeiro, Brazil",-23.0071673,-43.3081615,5
D'Heaven,Barra da Tijuca,"Av. das Américas, 3900",Francesa,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492,4
Alessandro & Frederico,Ipanema,"Rua Garcia d'Avila, 134",Italiana,"Rua Garcia d'Avila, Rio de Janeiro, Brazil",-22.9829363,-43.2091512,1
Pope,Ipanema,"Rua Joana Angélica, 47",Mediterrânea,"Rua Joana Angélica, Rio de Janeiro, Brazil",-22.9832734,-43.2049026,1
Gero Panini ,Ipanema,"Rua Aníbal de Mendonça, 157 ",Italiana,"Rua Aníbal de Mendonça, Rio de Janeiro, Brazil",-22.9828334,-43.2112609,3
Xian,Centro,"Av. Alm. Silvio de Noronha, 365",Asiática,"Avenida Alm. Silvio de Noronha, Rio de Janeiro, Brazil",-22.915589,-43.165112,3
Masi,São Conrado,"Av. Niemeyer, 769 - 30 andar",Japonesa,"Avenida Niemeyer, Rio de Janeiro, Brazil",-22.9909376,-43.2322211,2
Satyricon,Ipanema,"Rua Barão da Torre, 192",Mediterrânea,"Rua Barão da Torre, Rio de Janeiro, Brazil",-22.6270971,-42.0044768,4
